No.;APIs;Outline;Mode;ILX-LR1;ILCE-1M2;ILCE-1;ILCE-9M3;ILCE-9M2;ILCE-7RM5;ILCE-7RM4A;ILCE-7RM4;ILCE-7CR;ILCE-7SM3;ILCE-7M5;ILCE-7M4;ILCE-7CM2;ILCE-7C;ILCE-6700;MPC-2610;ILME-FX6;ILME-FX2;ILME-FX3A;ILME-FX3;ILME-FX30;PXW-Z300;PXW-Z200;HXR-NX800;BRC-AM7;ILME-FR7;ZV-E1;ZV-E10M2;DSC-RX1RM3;DSC-RX0M2
14;:ref:`GetDeviceProperties<api-get-device-properties>`;Read camera settings.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
15;:ref:`ReleaseDeviceProperties<api-release-device-properties>`;Release the CrDeviceProperty objects allocated by GetDeviceProperties.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
16;:ref:`SetDeviceProperty<api-set-device-property>`;Set camera settings.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
17;:ref:`SendCommand<api-send-command>`;Send control command.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
18;:ref:`GetLiveViewImage<api-get-live-view-image>`;Read the latest live-view image data from the Camera into the memory of the current machine.;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
19;:ref:`GetLiveViewImageInfo<api-get-live-view-image-info>`;This function returns the size of the live-view image.;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
20;:ref:`GetLiveViewProperties<api-get-live-view-properties>`;Get live view properties from the camera.;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
21;:ref:`ReleaseLiveViewProperties<api-release-live-view-properties>`;Release the CrLiveViewProperty objects allocated by GetLiveViewProperties.;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
22;:ref:`GetDeviceSetting<api-get-device-setting>`;This function returns the value of settings in the Camera Remote SDK.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
23;:ref:`SetDeviceSetting<api-set-device-setting>`;This function modifies the value of settings in the Camera Remote SDK.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
24;:ref:`SetDeviceSetting (Setting_Key_PartialBuffer)<api-set-device-setting>`;The input parameter “Setting_Key_PartialBuffer” is available.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
25;:ref:`SetSaveInfo<api-set-save-info>`;This function modifies settings for saving pictures.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
26;:ref:`GetSelectDeviceProperties<api-get-select-device-properties>`;Specify and read the device property from the camera.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
27;:ref:`GetSelectLiveViewProperties<api-get-select-live-view-properties>`;Specify and read the live view property from the camera.;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
28;:ref:`GetDateFolderList<api-get-date-folder-list>`;Get date folder.;C;✔;✔;✔;✔;\-;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
